あふりかんしんふぉにー  アフリカンシンフォニー 名詞
あわのきんたろう  阿波の金太郎 名詞
いまありて  今ありて 名詞
うえくささだお  植草貞夫 名詞
うえのせいいち  上野精一 名詞
うしおにだせん  牛鬼打線 名詞
うずしおだせん  渦潮打線 名詞
えいかんはきみにかがやく  栄冠は君に輝く 名詞
おくしまたかやす  奥島孝康 名詞
おもいでだいだ  思い出代打 名詞
かちわり  かちわり 名詞
がばいせんぷう  がばい旋風 名詞
きうちまじっく  木内マジック 名詞
きどうはかい  機動破壊 名詞
きぼうわく  希望枠 名詞
ぎゃくてんのぴーえる  逆転のPL 名詞
ぎゃくてんのほうとく  逆転の報徳 名詞
きゅうしゅうのばーす  九州のバース 名詞
きろくいん  記録員 名詞
くろしおだせん  黒潮打線 名詞
けーけーこんび  KKコンビ 名詞
こうかせいしょう  校歌斉唱 名詞
こうしえんかれー  甲子園カレー 名詞
こうしえんのつち  甲子園の土 名詞
こうしえんのほし  甲子園の星 名詞
こうしえんれんしゅう  甲子園練習 名詞
こうやれん  高野連 名詞
さわやかいれぶん  さわやかイレブン 名詞
さえきたつお  佐伯達夫 名詞
さわやかいれぶん  さわやかイレブン 名詞
しゅつじょうじたい  出場辞退 名詞
しらかわのせき  白河の関 名詞
すりーえーあじあやきゅうせんしゅけんたいかい  AAAアジア野球選手権大会 名詞
せめだるま  攻めダルマ 名詞
ぜんこくこうとうがっこうやきゅうせんしゅけんたいかい  全国高等学校野球選手権大会 名詞
ぜんこくこうとうがっこうなんしきやきゅうせんしゅけんたいかい  全国高等学校軟式野球選手権大会 名詞
せんばつこうとうがっこうやきゅうたいかい  選抜高等学校野球大会 名詞
ぜんりょくしっそう  ぜんりょくしっそう 名詞
でんれい  伝令 名詞
なかざわよしお  中澤良夫 名詞
なつはるれんぱ  夏春連覇 名詞
にじゅういっせいきわく  21世紀枠 名詞
にじゅうしのひとみ  二十四の瞳 名詞
にほんこうとうがっこうやきゅうれんめい  日本高等学校野球連盟 名詞
にほんこうやれん  日本高野連 名詞
ねっとうこうしえん  熱闘甲子園 名詞
はちごうもんくらぶ  8号門クラブ 名詞
はったえいじ  八田英二 名詞
はるなつれんぱ  春夏連覇 名詞
はんかちおうじ  ハンカチ王子 名詞
ばんびさかもと  バンビ坂本 名詞
ひぐまだせん  ヒグマ打線 名詞
びばくおん  美爆音 名詞
へいせいのかいぶつ  平成の怪物 名詞
ほうちこうこうやきゅう  報知高校野球 名詞
まきのなおたか  牧野直隆 名詞
みらくるうべしょう  ミラクル宇部商 名詞
めいじじんぐうたいかい  明治神宮大会 名詞
めいじじんぐうたいかいわく  明治神宮大会枠 名詞
やきゅうりゅうがく  野球留学 名詞
やまびこだせん  やまびこ打線 名詞
やればできるはまほうのあいことば  やればできるは魔法の合言葉 名詞
らがーさん  ラガーさん 名詞
りんじだいそう  臨時代走 名詞
わきむらはるお  脇村春夫 名詞
